1,Men's Vic League 1 - 2024,13/04/2024,Altona Hockey Club,ALT,12:30,WestVic Hockey,Mentone Hockey Club
1,Men's Vic League 1 Reserves - 2024,13/04/2024,Altona Hockey Club,ALT,14:00,WestVic Hockey,Mentone Hockey Club
1,Women's Vic League 1 - 2024,13/04/2024,Altona Hockey Club,ALT,15:30,WestVic Hockey,Toorak East Malvern Hockey Club
1,Women's Vic League 1 Reserves - 2024,13/04/2024,Altona Hockey Club,ALT,17:00,WestVic Hockey,Toorak East Malvern Hockey Club
1,Men's Metro 2 South - 2024,13/04/2024,Beaconhills College Pakenham,BCN,12:30,Cardinia Storm Hockey Club,Southern United Hockey Club
1,Women's Metro 1 South - 2024,13/04/2024,Beaconhills College Pakenham,BCN,14:00,Cardinia Storm Hockey Club,Mentone Hockey Club
1,Women's Vic League 1 Reserves - 2024,13/04/2024,Berwick,BER,12:30,Casey Hockey Club,Hockey Geelong Sharks
1,Women's Vic League 1 - 2024,13/04/2024,Berwick,BER,14:00,Casey Hockey Club,Hockey Geelong Sharks
1,Men's Vic League 2 - 2024,13/04/2024,Berwick,BER,15:30,Casey Hockey Club,La Trobe University Hockey Club
1,Men's Vic League 2 Reserves - 2024,13/04/2024,Berwick,BER,17:00,Casey Hockey Club,La Trobe University Hockey Club
1,Men's Vic League 2 - 2024,13/04/2024,Brighton Secondary College,BTN,12:30,Bayside Cougars Hockey Club,Craigieburn Falcons Hockey Club
1,Men's Vic League 2 Reserves - 2024,13/04/2024,Brighton Secondary College,BTN,14:00,Bayside Cougars Hockey Club,Craigieburn Falcons Hockey Club
1,Women's Vic League 3 - 2024,13/04/2024,Brighton Secondary College,BTN,15:30,Bayside Cougars Hockey Club,Frankston Hockey Club
1,Men's Pennant E North West - 2024,13/04/2024,Brunswick Secondary College,BRU,12:30,Brunswick Hockey Club,Essendon Hockey
1,Men's Vic League 1 - 2024,13/04/2024,Brunswick Secondary College,BRU,14:00,Brunswick Hockey Club,North West Lightning
1,Men's Vic League 1 Reserves - 2024,13/04/2024,Brunswick Secondary College,BRU,15:30,Brunswick Hockey Club,North West Lightning
1,Women's Metro 1 East - 2024,13/04/2024,Camberwell Hockey Club,CAM,11:00,Camberwell Hockey Club,KBH Brumbies Hockey Club
1,Men's Premier League Reserves - 2024,13/04/2024,Camberwell Hockey Club,CAM,12:30,Camberwell Hockey Club,Toorak East Malvern Hockey Club
1,Men's Premier League - 2024,13/04/2024,Camberwell Hockey Club,CAM,14:00,Camberwell Hockey Club,Toorak East Malvern Hockey Club
1,Women's Premier League - 2024,13/04/2024,Camberwell Hockey Club,CAM,15:30,Camberwell Hockey Club,Mentone Hockey Club
1,Women's Premier League Reserves - 2024,13/04/2024,Camberwell Hockey Club,CAM,17:00,Camberwell Hockey Club,Mentone Hockey Club
1,Men's Vic League 3 South East - 2024,13/04/2024,Churchill Hockey Ground,CHU,14:00,Latrobe Valley Hockey Association,East Gippsland Hockey Association
1,Women's Pennant D North West - 2024,13/04/2024,Cyril Cummins Reserve,YAR,12:30,Yarra Hockey Club,Footscray Hockey Club
